"cell_type","logFC","P.Value","nominal_p_lt_0_05","omitted_et_donor","main_logFC","same_direction_as_main"
"Bergmann",0.405210196153101,0.00347267037645777,TRUE,"SK00383",0.377386510600786,TRUE
"Golgi",-0.443019232428847,0.0128092095345713,TRUE,"SK00383",-0.4576881680309,TRUE
"Purkinje",-0.597002698526699,0.000313769150633751,TRUE,"SK00387",-0.600685666371143,TRUE
"OPC",0.341931493435786,0.000840443029502324,TRUE,"SK00387",0.344320981640402,TRUE
"UBC",-0.673405503304633,0.00112170678619591,TRUE,"SK00387",-0.669522432999622,TRUE
"Astrocytes",0.364327003891068,0.00195272275874543,TRUE,"SK00387",0.35046335238422,TRUE
"Bergmann",0.365367310052216,0.00735080776780606,TRUE,"SK00387",0.377386510600786,TRUE
"Golgi",-0.485119968674113,0.00569338174941428,TRUE,"SK00387",-0.4576881680309,TRUE
"Purkinje",-0.602308756794068,0.000182794404986946,TRUE,"SK00398",-0.600685666371143,TRUE
"OPC",0.367926330959154,0.000358009629355427,TRUE,"SK00398",0.344320981640402,TRUE
"UBC",-0.706344843591151,0.000780205479803127,TRUE,"SK00398",-0.669522432999622,TRUE
"Astrocytes",0.368203845057936,0.00196206526006764,TRUE,"SK00398",0.35046335238422,TRUE
"Bergmann",0.392189098566794,0.00497003556298745,TRUE,"SK00398",0.377386510600786,TRUE
"Golgi",-0.468790313689374,0.00842167706220633,TRUE,"SK00398",-0.4576881680309,TRUE
"Purkinje",-0.667971601280902,4.38967146446781e-05,TRUE,"SK00407",-0.600685666371143,TRUE
"OPC",0.340446761945688,0.000902121129417019,TRUE,"SK00407",0.344320981640402,TRUE
"UBC",-0.774476080279129,0.000155582063108109,TRUE,"SK00407",-0.669522432999622,TRUE
"Astrocytes",0.362972705783436,0.00202654376349884,TRUE,"SK00407",0.35046335238422,TRUE
"Bergmann",0.412148469714958,0.00223321073077837,TRUE,"SK00407",0.377386510600786,TRUE
"Golgi",-0.558210768026375,0.00111774463025418,TRUE,"SK00407",-0.4576881680309,TRUE
"Purkinje",-0.574355045732191,0.000312166702036722,TRUE,"SK00440",-0.600685666371143,TRUE
"OPC",0.33367002472141,0.000937526514878561,TRUE,"SK00440",0.344320981640402,TRUE
"UBC",-0.683870381863716,0.000991028700568453,TRUE,"SK00440",-0.669522432999622,TRUE
"Astrocytes",0.346753567755596,0.00311089101584607,TRUE,"SK00440",0.35046335238422,TRUE
"Bergmann",0.346541947073628,0.0106407551232528,TRUE,"SK00440",0.377386510600786,TRUE
"Golgi",-0.442855634662459,0.0119196377275324,TRUE,"SK00440",-0.4576881680309,TRUE
"Purkinje",-0.609364941723826,0.00024941962766509,TRUE,"SK10160",-0.600685666371143,TRUE
"OPC",0.311446571148953,0.00211446545788329,TRUE,"SK10160",0.344320981640402,TRUE
"UBC",-0.573425385267788,0.00515467005207119,TRUE,"SK10160",-0.669522432999622,TRUE
"Astrocytes",0.348784825481494,0.00319588912903141,TRUE,"SK10160",0.35046335238422,TRUE
"Bergmann",0.364922718994281,0.00859434896340919,TRUE,"SK10160",0.377386510600786,TRUE
"Golgi",-0.431530518912309,0.0152929801190279,TRUE,"SK10160",-0.4576881680309,TRUE
"Purkinje",-0.596053542595104,0.000353594005251365,TRUE,"SK10540",-0.600685666371143,TRUE
"OPC",0.358743659971527,0.00054960660701711,TRUE,"SK10540",0.344320981640402,TRUE
"UBC",-0.665483430461899,0.00156629201990422,TRUE,"SK10540",-0.669522432999622,TRUE
"Astrocytes",0.353477131694355,0.00318954492398485,TRUE,"SK10540",0.35046335238422,TRUE
"Bergmann",0.397987531300488,0.00459797905517507,TRUE,"SK10540",0.377386510600786,TRUE
"Golgi",-0.441533192389134,0.0137266228766485,TRUE,"SK10540",-0.4576881680309,TRUE
"Purkinje",-0.617809904642525,0.00019814821169608,TRUE,"SK10727",-0.600685666371143,TRUE
"OPC",0.316732700012773,0.00175779098416825,TRUE,"SK10727",0.344320981640402,TRUE
"UBC",-0.623008392840459,0.00272795479749613,TRUE,"SK10727",-0.669522432999622,TRUE
"Astrocytes",0.294022800474348,0.0107573860474237,TRUE,"SK10727",0.35046335238422,TRUE
"Bergmann",0.290059486396154,0.0299879224606808,TRUE,"SK10727",0.377386510600786,TRUE
"Golgi",-0.433851091666523,0.0142555706690846,TRUE,"SK10727",-0.4576881680309,TRUE
"Purkinje",-0.615699338830262,0.000163045716169453,TRUE,"SK10813",-0.600685666371143,TRUE
"OPC",0.37853091823844,0.000173487373810855,TRUE,"SK10813",0.344320981640402,TRUE
"UBC",-0.630712481769182,0.00236599505500657,TRUE,"SK10813",-0.669522432999622,TRUE
"Astrocytes",0.368168554192223,0.00170431173312377,TRUE,"SK10813",0.35046335238422,TRUE
"Bergmann",0.388447737140786,0.00501304449746751,TRUE,"SK10813",0.377386510600786,TRUE
"Golgi",-0.417305309654576,0.0175172136437986,TRUE,"SK10813",-0.4576881680309,TRUE
"Purkinje",-0.592531042429112,0.000383048662782959,TRUE,"SK11912",-0.600685666371143,TRUE
"OPC",0.330138346578353,0.00125016132228306,TRUE,"SK11912",0.344320981640402,TRUE
"UBC",-0.597452112417924,0.00402475490112617,TRUE,"SK11912",-0.669522432999622,TRUE
"Astrocytes",0.309231909028918,0.00773892134881911,TRUE,"SK11912",0.35046335238422,TRUE
"Bergmann",0.325835820993035,0.0176574172477236,TRUE,"SK11912",0.377386510600786,TRUE
"Golgi",-0.435014821816201,0.0146972940771256,TRUE,"SK11912",-0.4576881680309,TRUE
