"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gwas_accession","taxon_name","tier","sensitivity_model","analysis_status","error_message","primary_estimator","nominal_p_lt_0_05","odds_ratio","or_ci_lower","or_ci_upper","bh_q_primary","mibiogen_primary_beta","direction_concordant_with_genus"
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","MR Egger",8,0.761231160572843,0.416301483484895,0.117222214320128,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,FALSE,FALSE,2.14091040309149,0.946750440373937,4.84129413476165,NA,-0.210471475388647,FALSE
"GCST90670588__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539945","Robust adjusted profile score (RAPS)",8,0.0320220464476655,0.119639333529276,0.788965015697232,"GCST90670588","Faecalibacterium sp900539945","exploratory","full","estimated",NA,FALSE,FALSE,1.03254026889919,0.816710128243869,1.30540735326851,NA,-0.210471475388647,FALSE
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","Inverse variance weighted (multiplicative random effects)",4,-0.157297571792808,0.154937681063205,0.309995619293675,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full","estimated",NA,TRUE,FALSE,0.854449760836412,0.630668174820602,1.15763633387887,0.963557853306063,-0.210471475388647,TRUE
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","Weighted median",4,-0.132083169338615,0.236304251181015,0.57619322144144,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full","estimated",NA,FALSE,FALSE,0.876268113409214,0.551430481539188,1.39246166522112,NA,-0.210471475388647,TRUE
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","MR Egger",4,-0.797358192747157,0.558632473313918,0.289634472338856,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full","estimated",NA,FALSE,FALSE,0.450517573981329,0.150728082985434,1.34657112626873,NA,-0.210471475388647,TRUE
"GCST90670612__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii I","Robust adjusted profile score (RAPS)",4,-0.162352197345412,0.197295805469025,0.410572129607225,"GCST90670612","Faecalibacterium prausnitzii I","exploratory","full","estimated",NA,FALSE,FALSE,0.850141734145,0.577497031958787,1.25150594399357,NA,-0.210471475388647,TRUE
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","Inverse variance weighted (multiplicative random effects)",4,0.218459220305281,0.0531522965277782,3.95553344929851e-05,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full","estimated",NA,TRUE,TRUE,1.24415827919784,1.12106678558769,1.38076503879746,0.000672440686380747,-0.210471475388647,FALSE
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","Weighted median",4,0.18402214849889,0.0877817807251343,0.0360503339061862,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full","estimated",NA,FALSE,TRUE,1.20204244623725,1.01204178372387,1.42771382149799,NA,-0.210471475388647,FALSE
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","MR Egger",4,0.0921541344672412,0.287843438796629,0.779204277432659,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full","estimated",NA,FALSE,FALSE,1.09653382271265,0.623741658236763,1.92769940643664,NA,-0.210471475388647,FALSE
"GCST90670663__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii","Robust adjusted profile score (RAPS)",4,0.221902262853363,0.0818747803969823,0.00672296904039849,"GCST90670663","Faecalibacterium prausnitzii","exploratory","full","estimated",NA,FALSE,TRUE,1.24844935202376,1.06335360613251,1.46576432861068,NA,-0.210471475388647,FALSE
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","Inverse variance weighted (multiplicative random effects)",4,-0.000404014189565656,0.194187207049132,0.998339970709002,"GCST90670667","Faecalibacterium sp900539885","exploratory","full","estimated",NA,TRUE,FALSE,0.999596067413177,0.683170415690663,1.46258133408447,0.998339970709002,-0.210471475388647,TRUE
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","Weighted median",4,0.109348809263216,0.20213884694389,0.588535908431986,"GCST90670667","Faecalibacterium sp900539885","exploratory","full","estimated",NA,FALSE,FALSE,1.11555139714686,0.750629320160369,1.65788210805625,NA,-0.210471475388647,FALSE
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","MR Egger",4,-0.228131123452712,0.4675197361268,0.673829765408999,"GCST90670667","Faecalibacterium sp900539885","exploratory","full","estimated",NA,FALSE,FALSE,0.796019876117443,0.318392682854292,1.9901451173236,NA,-0.210471475388647,TRUE
"GCST90670667__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium sp900539885","Robust adjusted profile score (RAPS)",4,-0.0293006247667337,0.280664948969789,0.91685417301623,"GCST90670667","Faecalibacterium sp900539885","exploratory","full","estimated",NA,FALSE,FALSE,0.971124476510178,0.560232207612925,1.68337831360235,NA,-0.210471475388647,TRUE
"GCST90670780__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium prausnitzii F","Inverse variance weighted (multiplicative random effects)",2,0.0405360247326032,0.0344542810560698,0.239388605772666,"GCST90670780","Faecalibacterium prausnitzii F","exploratory","full","estimated",NA,TRUE,FALSE,1.04136882406022,0.973366725323383,1.1141217379958,0.963557853306063,-0.210471475388647,FALSE
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","Inverse variance weighted (multiplicative random effects)",7,-0.0173027218624501,0.0378001555205991,0.647137751252914,"GCST90671064","Flavonifractor avistercoris","exploratory","full","estimated",NA,TRUE,FALSE,0.982846110590998,0.912660766404372,1.05842884088199,0.963565203272801,-0.270367558373701,TRUE
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","Weighted median",7,0.0134455947737276,0.0525018125798651,0.797875378409477,"GCST90671064","Flavonifractor avistercoris","exploratory","full","estimated",NA,FALSE,FALSE,1.01353639327337,0.914426708751026,1.12338803171298,NA,-0.270367558373701,FALSE
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","MR Egger",7,-0.328212529526217,0.241784922571566,0.232690292617998,"GCST90671064","Flavonifractor avistercoris","exploratory","full","estimated",NA,FALSE,FALSE,0.720209937561833,0.448381441115991,1.15683279145498,NA,-0.270367558373701,TRUE
"GCST90671064__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor avistercoris","Robust adjusted profile score (RAPS)",7,-0.0179144007238442,0.0426224691407993,0.674263277566565,"GCST90671064","Flavonifractor avistercoris","exploratory","full","estimated",NA,FALSE,FALSE,0.982245108230105,0.903522342665775,1.06782688936655,NA,-0.270367558373701,TRUE
"GCST90671065__exploratory__full","deCODE_essential_tremor","Essential tremor","Flavonifractor intestinigallinarum","Inverse variance weighted (multiplicative random effects)",2,0.0378132254052786,0.0134382727296108,0.00489527252436741,"GCST90671065","Flavonifractor intestinigallinarum","exploratory","full","estimated",NA,TRUE,TRUE,1.03853724239026,1.0115402921142,1.0662547129757,0.041609816457123,-0.270367558373701,FALSE
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Inverse variance weighted (multiplicative random effects)",7,-0.0311603406829005,0.0528574453005406,0.555514789418803,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full","estimated",NA,TRUE,FALSE,0.969320139162107,0.873924812887182,1.0751285675036,0.963565203272801,-0.270367558373701,TRUE
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Weighted median",7,-0.0375325563822937,0.0638580164138011,0.556700033254022,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full","estimated",NA,FALSE,FALSE,0.963163060105583,0.849850974868111,1.09158323963318,NA,-0.270367558373701,TRUE
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","MR Egger",7,-0.479713554719181,0.265111515110996,0.130159753662809,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full","estimated",NA,FALSE,FALSE,0.618960664776864,0.368125220963252,1.04071191737026,NA,-0.270367558373701,TRUE
"GCST90671121__exploratory__full","deCODE_essential_tremor","Essential tremor","Gut microbiome species presence (Flavonifractor hMGS.05537, )","Robust adjusted profile score (RAPS)",7,-0.0382043201406854,0.0540809080950618,0.479921411021466,"GCST90671121","Gut microbiome species presence (Flavonifractor hMGS.05537, )","exploratory","full","estimated",NA,FALSE,FALSE,0.962516259341362,0.865712077251464,1.07014511387876,NA,-0.270367558373701,TRUE
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","Inverse variance weighted (multiplicative random effects)",9,-0.0392134688342104,0.0755624158744275,0.603792350159191,"GCST90671130","Faecalibacterium longum","exploratory","full","estimated",NA,TRUE,FALSE,0.961545427255107,0.829181836135479,1.11503842508694,0.963565203272801,-0.210471475388647,TRUE
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","Weighted median",9,-0.128640045455333,0.142212625134726,0.365697814139925,"GCST90671130","Faecalibacterium longum","exploratory","full","estimated",NA,FALSE,FALSE,0.879290413169089,0.665393428993429,1.16194659730958,NA,-0.210471475388647,TRUE
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","MR Egger",9,-0.176113374741717,0.228659880395416,0.466375441536766,"GCST90671130","Faecalibacterium longum","exploratory","full","estimated",NA,FALSE,FALSE,0.838522910629337,0.535643345102621,1.31266574686107,NA,-0.210471475388647,TRUE
"GCST90671130__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium longum","Robust adjusted profile score (RAPS)",9,-0.0400724672741045,0.114768567298074,0.726970016132943,"GCST90671130","Faecalibacterium longum","exploratory","full","estimated",NA,FALSE,FALSE,0.960719815883414,0.767191481238465,1.20306675347999,NA,-0.210471475388647,TRUE
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","Inverse variance weighted (multiplicative random effects)",6,-0.122748686168308,0.128666213554126,0.340079242343316,"GCST90671133","Faecalibacterium duncaniae","exploratory","full","estimated",NA,TRUE,FALSE,0.884485918176871,0.687334321952347,1.13818750856358,0.963557853306063,-0.210471475388647,TRUE
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","Weighted median",6,-0.226032730559655,0.156979886797921,0.149900394942884,"GCST90671133","Faecalibacterium duncaniae","exploratory","full","estimated",NA,FALSE,FALSE,0.797691992333049,0.586423350752301,1.08507363121875,NA,-0.210471475388647,TRUE
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","MR Egger",6,-0.0102303398854775,0.326156438794894,0.976480051487028,"GCST90671133","Faecalibacterium duncaniae","exploratory","full","estimated",NA,FALSE,FALSE,0.9898218120461,0.522308452771251,1.87580196032422,NA,-0.210471475388647,TRUE
"GCST90671133__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium duncaniae","Robust adjusted profile score (RAPS)",6,-0.164266183258098,0.130619264279743,0.208538125160774,"GCST90671133","Faecalibacterium duncaniae","exploratory","full","estimated",NA,FALSE,FALSE,0.848516131029053,0.656862911052404,1.09608810682123,NA,-0.210471475388647,TRUE
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","Inverse variance weighted (multiplicative random effects)",3,0.00245097541293614,0.0684546903952792,0.971438367768754,"GCST90671143","Faecalibacterium hattorii","exploratory","full","estimated",NA,TRUE,FALSE,1.00245398150863,0.876586214026747,1.14639492266968,0.998339970709002,-0.210471475388647,FALSE
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","Weighted median",3,0.0229656904921683,0.092773048411285,0.804484916648912,"GCST90671143","Faecalibacterium hattorii","exploratory","full","estimated",NA,FALSE,FALSE,1.02323143237812,0.853107695571305,1.22728064656061,NA,-0.210471475388647,FALSE
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","MR Egger",3,1.5621750862966,1.26780362138836,0.434016763774537,"GCST90671143","Faecalibacterium hattorii","exploratory","full","estimated",NA,FALSE,FALSE,4.7691833571748,0.397436537538668,57.2295391742641,NA,-0.210471475388647,FALSE
"GCST90671143__exploratory__full","deCODE_essential_tremor","Essential tremor","Faecalibacterium hattorii","Robust adjusted profile score (RAPS)",3,0.00252035534665324,0.0757021404192656,0.973440893872928,"GCST90671143","Faecalibacterium hattorii","exploratory","full","estimated",NA,FALSE,FALSE,1.00252353411217,0.864282289247016,1.16287635296146,NA,-0.210471475388647,FALSE
