"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"PPARA",0.400417083395813,4.25136394090649,7.84198014131685,0.00591759748846603,0.123975505146559,TRUE,FALSE,TRUE,TRUE,"Oligodendrocytes",10,108,16,92,TRUE,0.102983860769424
"MAOA",0.48088452301173,0.647627453220543,7.80989336078015,0.00602560310489092,0.113731039816819,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.103321370886806
"PRKCA",0.488329172626351,6.80002916624524,7.74543056920218,0.00635017264931933,0.329422155034783,TRUE,FALSE,TRUE,TRUE,"UBC",10,107,16,91,TRUE,0.105941622360113
"PDE4B",-0.424421241062268,8.21575027862601,7.75767786585488,0.0063601317025797,0.358444802417002,TRUE,FALSE,TRUE,FALSE,"MLI_1",10,108,16,92,TRUE,0.105941622360113
"YWHAG",0.375234763587248,6.78826242363361,7.68156492499097,0.00654555189178869,0.193313430200108,TRUE,FALSE,TRUE,FALSE,"Golgi",10,106,16,90,TRUE,0.107494556420079
"MME",-1.09460115168362,3.37155479033131,7.55489415792648,0.00692180804743486,0.154678097982584,TRUE,FALSE,TRUE,FALSE,"OPC",10,108,16,92,TRUE,0.112094835879292
"TOP2B",-0.258247848513572,7.2633351381193,7.52340695909707,0.00709907583966441,0.0661616437490152,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.113390718206147
"TRPV3",0.370789606106212,0.774894081553966,7.39052386182179,0.00751157896219322,0.128643776563319,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.118234965429904
"PDE4B",-0.476520343764879,8.17700227269028,7.41417981807262,0.00760516501478799,0.234685985993084,TRUE,FALSE,TRUE,FALSE,"Microglia",10,108,16,92,TRUE,0.118234965429904
"SGMS2",-0.318701014292652,3.74804775346113,7.33783532011447,0.00781089406028557,0.0702097641016304,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.119835558872276
"CA12",0.854322897017232,3.91902978926818,7.17938350042331,0.00829364639178547,0.381767899279384,TRUE,TRUE,TRUE,TRUE,"Purkinje",10,108,16,92,TRUE,0.12558950250418
"PRKCE",-0.177674443149226,9.10487511246893,7.16321714301238,0.00856505570500177,0.0739250621856509,TRUE,FALSE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.127188777610212
"AKR1C3",0.627254879288026,1.23552507275779,7.09620514806396,0.00861742146758724,0.0740707956408515,TRUE,TRUE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.127188777610212
"PTPN1",-0.176648453685318,5.78888235994293,6.83976570001694,0.0101513500112184,0.0819814780161306,TRUE,TRUE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.146897973100813
