"cell_type","gene_symbol","minimum_nuclei","logFC","PValue","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors"
"Astrocytes","CA3",10,-0.1222803722038,0.338649855206257,FALSE,108,16,92
"Purkinje","CA4",10,0.256658344204814,0.342540887350959,FALSE,108,16,92
"Golgi","CA4",10,0.19008721678202,0.379085020299415,FALSE,106,16,90
"Granule","ADCY10",10,0.174030885711652,0.390699361932803,FALSE,109,16,93
"MLI_2","TET3",10,-0.0890695800184721,0.447147708335851,FALSE,106,16,90
"Endocytes","TET3",10,-0.0733704969248061,0.508841071220439,FALSE,107,16,91
"Oligodendrocytes","CA3",10,0.0730003982775996,0.564943207588482,FALSE,108,16,92
"MLI_1","CA3",10,-0.0739565196814444,0.576360284035321,FALSE,108,16,92
"Granule","TET3",10,-0.0376274852891369,0.57868288286696,FALSE,109,16,93
"UBC","CA4",10,0.141660990405416,0.598655836492921,FALSE,107,16,91
"OPC","CA3",10,0.0616995242535715,0.630810946485384,FALSE,108,16,92
"Granule","CA3",10,-0.044990048515213,0.640033585613891,FALSE,109,16,93
"Microglia","ADCY10",10,0.123976314643885,0.640657824622933,FALSE,108,16,92
"Golgi","ADCY10",10,0.0971983919675548,0.705930117831702,FALSE,106,16,90
"Endocytes","CA3",10,0.06033763530114,0.74737177954679,FALSE,107,16,91
"Astrocytes","TET3",10,-0.0265869022013627,0.757446071991121,FALSE,108,16,92
"PLI","CA3",10,-0.0506803080828081,0.763942663051972,FALSE,107,16,91
"MLI_1","ADCY10",10,0.0650789339211043,0.764398044145869,FALSE,108,16,92
"Pericytes","TET3",10,0.0456045218509849,0.775718477853463,FALSE,102,16,86
"OPC","ADCY10",10,-0.0644167001477858,0.778337589617382,FALSE,108,16,92
"OPC","TET3",10,-0.0198650826777803,0.799559596517251,FALSE,108,16,92
"UBC","CA3",10,0.0501390780281377,0.806878293775992,FALSE,107,16,91
"UBC","TET3",10,-0.0253920889185249,0.815495643336559,FALSE,107,16,91
"Bergmann","CA3",10,-0.0152545796140247,0.882038890551896,FALSE,108,16,92
"Microglia","TET3",10,-0.0124707105440649,0.899722630730452,FALSE,108,16,92
"PLI","TET3",10,-0.00762501683390596,0.943065353163356,FALSE,107,16,91
"Bergmann","ADCY10",10,-0.0139550333353933,0.9523446559402,FALSE,108,16,92
"MLI_2","CA3",10,-0.00318596815967235,0.986957755410689,FALSE,106,16,90
"Purkinje","ADCY10",10,-0.00332949369989363,0.993285994876911,FALSE,108,16,92
"Granule","CA12",20,0.856901079323845,0.000359294915081606,TRUE,109,16,93
"Purkinje","CA12",20,0.854322897017232,0.00829364639178547,TRUE,108,16,92
"Bergmann","CA12",20,0.682711455516241,0.0102310695925461,TRUE,108,16,92
"MLI_1","TET3",20,-0.168709280115114,0.029202892039081,TRUE,108,16,92
"Astrocytes","CA12",20,0.578580872530525,0.0398568081270999,TRUE,108,16,92
"OPC","CA4",20,0.395426813751345,0.0627841190385071,FALSE,107,16,91
"Oligodendrocytes","CA4",20,0.357343705068344,0.0746311728255837,FALSE,107,16,91
"Astrocytes","CA4",20,0.376206353781923,0.086168759042501,FALSE,108,16,92
"MLI_2","CA4",20,0.484296290618827,0.112283022609471,FALSE,104,16,88
"Microglia","CA3",20,-0.223631472220293,0.118532925904101,FALSE,107,16,91
"Granule","CA4",20,0.335413933501184,0.118664558564119,FALSE,109,16,93
"Pericytes","CA4",20,0.356956172364441,0.118734570195356,FALSE,101,16,85
"Purkinje","CA3",20,-0.267875324971061,0.120795585066995,FALSE,108,16,92
"Golgi","TET3",20,-0.160983023066409,0.134329133802335,FALSE,106,16,90
"Oligodendrocytes","ADCY10",20,0.323106944969538,0.136363443236451,FALSE,107,16,91
"Purkinje","TET3",20,-0.134817517610578,0.152429268018197,FALSE,108,16,92
"Microglia","CA4",20,0.333198141229955,0.154150383721058,FALSE,107,16,91
"Bergmann","TET3",20,-0.0940349230428573,0.17915804532901,FALSE,108,16,92
"Oligodendrocytes","TET3",20,-0.106523838575467,0.181407060079045,FALSE,107,16,91
"Endocytes","ADCY10",20,0.406189374770374,0.187633892425289,FALSE,103,16,87
"MLI_1","CA4",20,0.289179374710135,0.192658778917836,FALSE,108,16,92
"PLI","CA4",20,0.252016922842997,0.235122104918541,FALSE,105,16,89
"Astrocytes","ADCY10",20,-0.257001130122086,0.245770840092922,FALSE,108,16,92
"Golgi","CA3",20,-0.174083595816448,0.246144477796241,FALSE,106,16,90
"MLI_2","ADCY10",20,-0.386898858497287,0.256964015219267,FALSE,104,16,88
