"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"Granule","CA13","ENSG00000185015",0.0667857034629314,-0.08819879861474,0.221770205540603,3.88061569606909,0.851915031469669,0.395709502477166,FALSE,0.7168866443023,0.740949585969258,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-5.73490488689692,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","CA3","ENSG00000164879",0.103931844206302,-0.169160033955326,0.377023722367929,4.39725847081835,0.752543656265508,0.453012108269508,FALSE,0.762594516110433,0.790342573275406,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-5.88461559674379,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_1","CA13","ENSG00000185015",0.100646625672228,-0.164089336092503,0.36538258743696,3.95229161323487,0.751748855463275,0.453486672426931,FALSE,0.82617675201202,0.790342573275406,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-5.28640616659449,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA1","ENSG00000133742",0.113120666542861,-0.206496738334322,0.432738071420044,0.537397937135048,0.699701142782694,0.485269614530071,FALSE,0.776598731268787,0.816999236169334,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,TRUE,TRUE,TRUE,TRUE,-5.30252568387247,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","CA3","ENSG00000164879",-0.0658104305985348,-0.302775164322919,0.171154303125849,4.57971089564663,-0.549128930802096,0.583802101968788,FALSE,0.821845411636828,0.866633188090451,0.960978091463526,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,TRUE,FALSE,TRUE,-5.75865796030761,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","CA9","ENSG00000107159",-0.102134331023161,-0.47130713983879,0.267038477792467,2.71075617165694,-0.547037634086067,0.585236817312008,FALSE,0.770313442736749,0.866732304001556,NA,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,TRUE,TRUE,TRUE,FALSE,-5.67849821874329,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"OPC","CA3","ENSG00000164879",0.0655476243827312,-0.173158630275036,0.304253879040498,4.54650341136355,0.543016581263183,0.588004987890603,FALSE,0.846114309113212,0.868293079785978,0.960978091463526,130,108,16,92,0.174390558604175,0.174457377959855,TRUE,FALSE,TRUE,FALSE,TRUE,-5.73185230297531,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Microglia","CA3","ENSG00000164879",-0.0664536767910314,-0.348160187810262,0.215252834228199,4.52787655324539,-0.466599923773684,0.641550444113532,FALSE,0.906665240687887,0.879418944366723,0.960978091463526,127,108,16,92,0.200947166454236,0.20114658349785,TRUE,FALSE,TRUE,FALSE,TRUE,-5.68187967530284,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","CA9","ENSG00000107159",0.0907290621956133,-0.308488026206911,0.489946150598138,3.0409721718771,0.449395944365113,0.653854459202592,FALSE,0.872255821182476,0.885509165796884,NA,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,TRUE,TRUE,TRUE,FALSE,-5.75520736049581,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_1","CA3","ENSG00000164879",-0.0506912160365578,-0.306658755576,0.205276323502885,4.46255249474887,-0.391592452075878,0.695965445455452,FALSE,0.920951447999414,0.906490913317294,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-5.57233702250317,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA9","ENSG00000107159",-0.0472200209906794,-0.294567897631559,0.2001278556502,3.0806933054038,-0.377414896756762,0.706434196821017,FALSE,0.898683751213648,0.90977056024535,NA,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,TRUE,TRUE,TRUE,FALSE,-5.86356709051378,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","CA2","ENSG00000104267",0.0443541176121696,-0.360195905120924,0.448904140345263,3.90800891894131,0.216797147446395,0.828688149063422,FALSE,0.945994452764849,0.950692066819078,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,TRUE,TRUE,TRUE,TRUE,-6.12595295990363,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA2","ENSG00000104267",0.0508738716725338,-0.435630240573629,0.537377983918697,0.0371425835145745,0.206732769783873,0.83651755015569,FALSE,0.94630944813026,0.952527281771423,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,TRUE,TRUE,TRUE,TRUE,-5.38063982609415,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","CA13","ENSG00000185015",-0.0191803802267938,-0.234588184672029,0.196227424218442,4.02621715459888,-0.176064152464676,0.860501768121324,FALSE,0.933081493958933,0.962056100296187,0.960978091463526,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,FALSE,TRUE,FALSE,TRUE,-6.10123230509942,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Microglia","CA13","ENSG00000185015",0.0246801500008098,-0.29437511987206,0.34373541987368,4.00007488102073,0.153004571205317,0.878626835578204,FALSE,0.969073281410072,0.97312747175354,0.960978091463526,127,108,16,92,0.200947166454236,0.20114658349785,TRUE,FALSE,TRUE,FALSE,TRUE,-5.62507755907002,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","CA3","ENSG00000164879",-0.0107298582740987,-0.191690573423473,0.170230856875276,4.71377298308174,-0.117242438884338,0.906838480676849,FALSE,0.955296921844198,0.976224634352442,0.960978091463526,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,FALSE,TRUE,FALSE,TRUE,-6.2342140354277,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"UBC","CA4","ENSG00000167434",0.0150851652436086,-0.438725267488859,0.468895597976076,6.00039154914826,0.0657846634050634,0.947653770741093,FALSE,0.987210046194678,0.989541210785002,NA,116,107,16,91,0.0586769757565924,0.058711755849593,TRUE,FALSE,TRUE,FALSE,FALSE,-5.52837544243538,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"OPC","CA13","ENSG00000185015",-0.00752163348779074,-0.278838960291248,0.263795693315666,4.0610134285869,-0.0548219616465696,0.956360552664454,FALSE,0.988741125711892,0.989541210785002,0.984081148393858,130,108,16,92,0.174390558604175,0.174457377959855,TRUE,FALSE,TRUE,FALSE,TRUE,-5.74367757589429,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
