"cell_type","gene_symbol","gene_id","logFC","CI.L","CI.R","AveExpr","t","P.Value","nominal_p_lt_0_05","BH_FDR_full_transcriptome_within_cell_type_supplementary","BH_FDR_all_target_gene_cell_type_tests_supplementary","BH_FDR_prespecified_gene_cell_type_tests_supplementary","n_pseudobulk_samples","n_donors","n_et_donors","n_normal_donors","initial_consensus_correlation","final_consensus_correlation","all_form_union","all_form_core","circulating_conjugate_union","circulating_conjugate_core","prespecified_single_gene","B","analysis_type","omitted_et_donors","filter_pass_fraction","same_direction_fraction","nominal_p_lt_0_05_fraction","all_iterations_nominal_p_lt_0_05","maximum_nominal_p","minimum_logFC","maximum_logFC"
"Pericytes","TET3","ENSG00000187605",0.186998164131493,-0.12556212416248,0.499558452425467,7.17830925891682,1.18435150889861,0.238575998005874,FALSE,0.680393546551769,0.621278884267224,0.960978091463526,106,102,16,86,0.108608045052118,0.108847184518681,TRUE,FALSE,TRUE,FALSE,TRUE,-5.0603083578853,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","IGF1R","ENSG00000140443",-0.0710514810764577,-0.189983685711832,0.0478807235589171,8.74782946287789,-1.18131444795775,0.239519422308912,FALSE,0.591370762451241,0.622136345638278,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-6.06827290162818,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","CA3","ENSG00000164879",-0.174399587207444,-0.475088891175335,0.126289716760446,4.75084368421752,-1.14769207436608,0.253248797464072,FALSE,0.63472991611025,0.636578242757083,0.960978091463526,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,TRUE,FALSE,TRUE,-5.27817891929478,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Astrocytes","CA13","ENSG00000185015",0.152873606495024,-0.120560850576442,0.426308063566491,4.01048440066457,1.10545884583169,0.270879336804633,FALSE,0.613341668588979,0.656461167902136,0.960978091463526,134,108,16,92,0.269165816412669,0.26902089105135,TRUE,FALSE,TRUE,FALSE,TRUE,-5.19523207827502,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA3","ENSG00000164879",-0.0800587952948588,-0.228942521748892,0.0688249311591748,4.50906864394531,-1.06307246386389,0.289570934381633,FALSE,0.628392045037823,0.670247321408044,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-5.63423546686379,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","TET3","ENSG00000187605",-0.068020054547398,-0.195561782034066,0.0595216729392705,6.79660933074395,-1.05453219480706,0.293482974115771,FALSE,0.524246095267897,0.670247321408044,0.960978091463526,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,FALSE,TRUE,FALSE,TRUE,-5.93745020178152,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Endocytes","CA3","ENSG00000164879",0.173925731456789,-0.171418825591138,0.519270288504716,4.48798146637714,0.996773936516403,0.32080553065819,FALSE,0.849031318981051,0.685538985010092,0.960978091463526,121,107,16,91,0.170853828039526,0.171192220340184,TRUE,FALSE,TRUE,FALSE,TRUE,-5.50741272161287,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","TET3","ENSG00000187605",-0.067385336352801,-0.203469289294634,0.0686986165890319,6.90823495636926,-0.979152493316856,0.329226294045885,FALSE,0.671499103914119,0.693456432282459,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-6.06510969173203,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_2","ADCY10","ENSG00000143199",-0.323855866142342,-0.997593214728092,0.349881482443407,4.05652950312971,-0.951773838542419,0.343134609036639,FALSE,0.778566401165085,0.70649463202056,0.960978091463526,111,106,16,90,0.147495448276248,0.147618093114082,TRUE,FALSE,FALSE,FALSE,TRUE,-5.18431944578121,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","ADCY10","ENSG00000143199",0.135296507840359,-0.164076747836405,0.434669763517123,3.88206767025283,0.893459015550421,0.373137656015018,FALSE,0.698780862526096,0.729743001468503,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,FALSE,FALSE,TRUE,-5.67269778599211,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA13","ENSG00000185015",0.0667857034629314,-0.08819879861474,0.221770205540603,3.88061569606909,0.851915031469669,0.395709502477166,FALSE,0.7168866443023,0.740949585969258,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,FALSE,TRUE,FALSE,TRUE,-5.73490488689692,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Oligodendrocytes","CA3","ENSG00000164879",0.103931844206302,-0.169160033955326,0.377023722367929,4.39725847081835,0.752543656265508,0.453012108269508,FALSE,0.762594516110433,0.790342573275406,0.960978091463526,133,108,16,92,0.25740559432296,0.257627515252597,TRUE,FALSE,TRUE,FALSE,TRUE,-5.88461559674379,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"MLI_1","CA13","ENSG00000185015",0.100646625672228,-0.164089336092503,0.36538258743696,3.95229161323487,0.751748855463275,0.453486672426931,FALSE,0.82617675201202,0.790342573275406,0.960978091463526,133,108,16,92,0.208796668844919,0.208893644765407,TRUE,FALSE,TRUE,FALSE,TRUE,-5.28640616659449,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"UBC","IGF1R","ENSG00000140443",-0.0475197114590738,-0.176992408752063,0.0819529858339155,8.76055452104862,-0.72634785786814,0.468975816990396,FALSE,0.821880497604015,0.807217242320501,0.960978091463526,116,107,16,91,0.0586769757565924,0.058711755849593,TRUE,FALSE,TRUE,FALSE,TRUE,-5.94130997888262,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Golgi","SIRT1","ENSG00000096717",-0.103303299356668,-0.391944101974676,0.185337503261341,5.34271913596073,-0.708197482574767,0.480117846566532,FALSE,0.793918274209419,0.813456902346345,0.960978091463526,119,106,16,90,0.0843378657773514,0.084327709538786,TRUE,FALSE,FALSE,FALSE,TRUE,-5.75172723575621,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Granule","CA1","ENSG00000133742",0.113120666542861,-0.206496738334322,0.432738071420044,0.537397937135048,0.699701142782694,0.485269614530071,FALSE,0.776598731268787,0.816999236169334,0.960978091463526,139,109,16,93,0.433480024109276,0.432979964817126,TRUE,TRUE,TRUE,TRUE,TRUE,-5.30252568387247,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Bergmann","IGF1R","ENSG00000140443",0.037689141779227,-0.0722300471500791,0.147608330708533,8.73369117416554,0.677981581112361,0.498919105267378,FALSE,0.707789900615405,0.823581088931443,0.960978091463526,136,108,16,92,0.274401116930219,0.274690494831428,TRUE,FALSE,TRUE,FALSE,TRUE,-6.41561232166627,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
"Purkinje","TET3","ENSG00000187605",-0.056701859009341,-0.224110518078086,0.110706800059404,6.74223265041052,-0.670332359468321,0.503881860292285,FALSE,0.838065332247114,0.826491386614409,0.960978091463526,121,108,16,92,0.0712124456320508,0.0712425788161398,TRUE,FALSE,TRUE,FALSE,TRUE,-5.65945848738327,"raw-count donor-by-sequencing-batch pseudobulk voom analysis",NA,NA,NA,NA,NA,NA,NA,NA
