"logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","gene_symbol","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_carbonic_anhydrase_tests_within_threshold_supplementary"
0.22847789964706,6.44794576081112,1.00312757032175,0.318843394526854,0.851893363126481,"CA4","Endocytes",10,107,16,91,FALSE,0.947228844335899
0.0786871071923918,11.0577800842602,0.967449313055596,0.327095210754127,0.871251856566407,"CA10","PLI",10,107,16,91,FALSE,0.947228844335899
0.195337744996392,4.36555633982251,0.955236634103902,0.330220674391421,0.815751087145024,"CA8","Microglia",10,108,16,92,FALSE,0.947228844335899
-0.132432672905808,5.4931601586265,0.949307269586838,0.331446355291806,0.871251856566407,"CA5B","PLI",10,107,16,91,FALSE,0.947228844335899
-0.1222803722038,4.70462610352165,0.923055562139158,0.338649855206257,0.724367387455907,"CA3","Astrocytes",10,108,16,92,FALSE,0.947228844335899
0.256658344204814,6.09114846935756,0.909243279896246,0.342540887350959,0.864619798763268,"CA4","Purkinje",10,108,16,92,FALSE,0.947228844335899
0.201097983617525,4.0496822890376,0.900370057159687,0.344576930260334,0.729617829754948,"CA8","Astrocytes",10,108,16,92,FALSE,0.947228844335899
0.0732703188173156,10.865652805452,0.867502415064175,0.353581538677255,0.869580734076623,"CA10","MLI_1",10,108,16,92,FALSE,0.947228844335899
0.193377600378668,4.16527916171272,0.866333726849988,0.353818310235323,0.734757063520852,"CA2","Oligodendrocytes",10,108,16,92,FALSE,0.947228844335899
0.171512355769101,6.61674719045589,0.821563010107436,0.366724402419522,0.874168909647691,"CA11","Endocytes",10,107,16,91,FALSE,0.947228844335899
-0.154935584969234,6.49050627778727,0.808581428914499,0.370515808235515,0.875473524335494,"CA11","Purkinje",10,108,16,92,FALSE,0.947228844335899
0.19008721678202,6.07506326870774,0.780336771165525,0.379085020299415,0.837772217112871,"CA4","Golgi",10,106,16,90,FALSE,0.947228844335899
-0.212792595862795,4.20785806158617,0.756809999534987,0.385790613266631,0.901220965565404,"CA13","MLI_2",10,106,16,90,FALSE,0.947228844335899
0.185473808455146,7.06092562316543,0.754125152991975,0.386918980839753,0.808813688761066,"CA11","Pericytes",10,102,16,86,FALSE,0.947228844335899
0.151994155150632,5.41667714665602,0.711953937715088,0.400253599364891,0.852451406274195,"CA5B","UBC",10,107,16,91,FALSE,0.947228844335899
-0.132926701491913,6.46766358337534,0.688304965258414,0.40860549764975,0.667655679140833,"CA11","Bergmann",10,108,16,92,FALSE,0.947228844335899
0.0960600534637985,5.25068016940874,0.676808812349667,0.412277257443064,0.855653842370659,"CA5B","Microglia",10,108,16,92,FALSE,0.947228844335899
0.0674730683388043,10.9291519439854,0.665825457635499,0.416072483026049,0.911197693133952,"CA10","MLI_2",10,106,16,90,FALSE,0.947228844335899
-0.184074440522603,1.01236327846714,0.585053437151895,0.445584180529751,0.697768532492019,"CA1","Bergmann",10,108,16,92,FALSE,0.964740914132788
0.0492442773630373,10.9902815291564,0.531750622320958,0.467400902737599,0.789013898990103,"CA10","Granule",10,109,16,93,FALSE,0.964740914132788
-0.131735628132994,3.28073001965756,0.460433774209571,0.49859395353729,0.826632537137237,"CA9","Astrocytes",10,108,16,92,FALSE,0.964740914132788
-0.135470473891616,4.34108419692828,0.459990053634087,0.498779650107854,0.884630477374103,"CA13","Golgi",10,106,16,90,FALSE,0.964740914132788
-0.0970641388325961,3.13911762755997,0.435053876134165,0.510851748077456,0.811605982822647,"CA9","Granule",10,109,16,93,FALSE,0.964740914132788
0.0862790714172664,10.7909882763159,0.412990409281608,0.521733042619129,0.931846716448329,"CA10","Endocytes",10,107,16,91,FALSE,0.964740914132788
0.0992017653202797,4.6510436691596,0.364709108504243,0.547037249021903,0.863027760343224,"CA8","OPC",10,108,16,92,FALSE,0.964740914132788
-0.154121459858723,4.46718718853704,0.359016708771131,0.550036776132049,0.944772850430393,"CA8","MLI_2",10,106,16,90,FALSE,0.964740914132788
