bac,nsnp,f_min,f_median,f_mean,ivw_q,ivw_q_df,ivw_q_p,ivw_i2,egger_q,egger_q_df,egger_q_p,egger_i2,egger_intercept,egger_intercept_se,egger_intercept_p
genus.Coprococcus1.id.11301,12,19.324572958469,21.3438291009103,21.8977963147014,8.67062827188665,11,0.652265246218964,0,4.57923150662492,10,0.917458559076679,0,0.0283547290667445,0.0140181177337818,0.0706586469271797
genus.Coprococcus2.id.11302,8,19.2730459352641,20.2737624357475,20.7674396486018,7.22673396922892,7,0.405660511819897,0.0313743345464696,3.86731285527439,6,0.694626972760785,0,-0.0951521013916383,0.0519141993198079,0.116523426584884
genus.Coprococcus3.id.11303,8,18.8068568419197,20.7167737657592,21.1872862329437,11.9001178776492,7,0.103891762223344,0.411770532698049,11.63244308847,6,0.0706891620062554,0.484201215998457,0.0291395492630179,0.0784221849362922,0.722979351073375
genus.DefluviitaleaceaeUCG011.id.11287,9,20.2582386166292,23.1666543510705,22.8736532415697,5.19876828145582,8,0.73613563180959,0,4.87946844076466,7,0.674669480079246,0,0.0150221842090171,0.0265848204972196,0.589671009254281
genus.Desulfovibrio.id.3173,8,19.4035192517035,20.676653692306,21.0565973282663,7.04551704994757,7,0.424156090288864,0.00646042719432641,5.3020560082027,6,0.50569601052782,0,0.0375794697862638,0.0284606310015054,0.234831733275855
genus.Dialister.id.2183,10,18.6290795178148,20.1853852386608,20.4575287782521,10.7507845430937,9,0.293178980282006,0.162851793380827,9.80727973137047,8,0.278813816086588,0.184279410894087,-0.0241596549704479,0.0275389866783815,0.405903199537979
genus.Dorea.id.1997,9,19.5037972029391,20.9941055110653,21.3569912408529,5.52435389688858,8,0.700340318585073,0,2.73738818514667,7,0.908187271807541,0,0.0327175205847258,0.0195981271747903,0.138963579573602
genus.Eggerthella.id.819,8,19.8943695637587,20.8795962205825,21.1341585251159,1.94279483527714,7,0.962938521606399,0,1.91076193668157,6,0.927720024736433,0,0.00638685899497252,0.0356852882155518,0.86384621035444
genus.Eisenbergiella.id.11304,11,19.9198908280292,20.562639000184,21.0803616458695,11.7897347690122,10,0.299375274913301,0.151804498072028,11.0365663761446,9,0.273210825622834,0.184528983629061,-0.037574277631845,0.0479446697956557,0.453345680131994
genus.Enterorhabdus.id.820,5,19.8746740854874,22.0280908188192,21.5066051217299,10.4326148746805,4,0.033737970107391,0.616587016002303,5.01762492927608,3,0.170511100332234,0.402107562385531,0.08462809049381,0.0470331627968566,0.169794140181139
genus.Erysipelatoclostridium.id.11381,15,17.6905312769351,21.1331720586673,22.1366544966312,19.6959202823183,14,0.140023546868885,0.289192898868084,18.0624772043217,13,0.155161615979239,0.280275908285186,-0.0237936092509477,0.0219444804230333,0.297947294598465
genus.ErysipelotrichaceaeUCG003.id.11384,15,14.5893297494358,21.586717003008,21.1675334971604,5.8249426122578,14,0.970712579847802,0,5.82407173944226,13,0.952321867500263,0,-0.000491028999620789,0.0166390978124078,0.976905641060293
genus.Escherichia.Shigella.id.3504,10,19.1077190804068,20.5698466308521,20.8523627915987,5.27760261904988,9,0.809468630255772,0,4.78082074725884,8,0.780724862052105,0,-0.0123259258157818,0.0174878604824067,0.50091891270542
genus.Faecalibacterium.id.2057,9,18.2950043313922,20.6489260022112,21.1718979918317,4.07338754157879,8,0.850442184293542,0,3.7280332322459,7,0.810515463550762,0,-0.00923254902792983,0.0157104701839021,0.57521383233149
genus.FamilyXIIIAD3011group.id.11293,10,19.0974684493907,20.6547883437051,21.2291266331132,5.77971527915399,9,0.761746838049602,0,5.46209319822327,8,0.707236035338051,0,-0.0200863689075505,0.0356406890149741,0.588484770642015
genus.FamilyXIIIUCG001.id.11294,7,20.0009508936829,21.1581095555626,21.4647827948279,6.70003796774634,6,0.349480285001623,0.104482686682716,6.46479877389236,5,0.263580605484739,0.226580722018425,-0.0104772107961358,0.0245631094893532,0.687453727817552
genus.Flavonifractor.id.2059,4,22.8784037960626,23.5335871999434,23.8265769500001,1.6004028163565,3,0.659298487249816,0,0.864058062867167,2,0.649190529479828,0,0.040203287679054,0.0468512272090344,0.481253485520981
genus.Fusicatenibacter.id.11305,17,19.2589721095168,20.354184486403,21.1581541935761,13.7515720436573,16,0.61721520568292,0,13.496318637702,15,0.564020057221839,0,-0.0120737841875254,0.0238977842462046,0.620742063447368
genus.Gordonibacter.id.821,10,19.025876591317,20.2208726300048,21.1269666925898,8.29842251907524,9,0.504374683369486,0,7.99547867467989,8,0.433911903588,0,-0.0160799305743679,0.0292148124858589,0.59707174881166
genus.Haemophilus.id.3698,9,21.4367276762832,22.8149190446406,23.4244919528988,4.66797132933689,8,0.792402382639109,0,4.57005295589549,7,0.712266124163705,0,-0.00541197291553363,0.0172951175910521,0.763459032374606
